学年	英単語	品詞	正解の意味	学年の根拠
1	won	動詞	「win」の過去形	中学1年
2	wonder	動詞	思いをめぐらす	中学2年
1	wonderful	形容詞	すばらしい	中学1年
1	word	名詞	歌詞	中学1年
3	worker	名詞	働く人	中学3年
3	working	形容詞	働く	中学3年
1	world	名詞	世界	小学校語彙
3	worldwide	副詞	世界中に	中学3年
3	worth	形容詞	…の価値がある	中学3年
1	would	助動詞	…がほしい	中学1年
1	wow	間投詞	うわあ	小学校語彙
3	wrap	動詞	…を包む	中学3年
1	writer	名詞	筆者	小学校語彙
1	wrong	形容詞	間違った	中学1年
1	wrote	動詞	「write」の過去形	中学1年
1	year	名詞	年	小学校語彙
1	yellow	名詞・形容詞	黄色	小学校語彙
1	yes	副詞	はい	小学校語彙
3	yet	副詞	もう	中学3年
1	you	代名詞	あなた	小学校語彙
2	young	形容詞	若い	中学2年
1	your	代名詞	あなたの	小学校語彙
未確認	yours	代名詞	あなたのもの	未確認
1	yourself	代名詞	あなた自身を	中学1年
1	yo-yo	名詞	ヨーヨー	小学校語彙
1	zebra	名詞	シマウマ	小学校語彙
1	zero	名詞・形容詞	0（ゼロ）	小学校語彙
1	zipper	名詞	ジッパー	小学校語彙
1	zoo	名詞	動物園	小学校語彙
1	aren’t	短縮形	「are not」の短縮形	中学1年
未確認	can’t	短縮形	「cannot」の短縮形	未確認
未確認	couldn’t	短縮形	「could not」の短縮形	未確認
1	didn’t	短縮形	「did not」の短縮形	中学1年
未確認	doesn’t	短縮形	「does not」の短縮形	未確認
1	don’t	短縮形	「do not」の短縮形	中学1年
3	hasn’t	短縮形	「has not」の短縮形	中学3年
3	haven’t	短縮形	「have not」の短縮形	中学3年
未確認	here’s	短縮形	「here is」の短縮形	未確認
未確認	he’s	短縮形	「he is」の短縮形	未確認
1	how’s	短縮形	「how is」の短縮形	中学1年
1	I’d	短縮形	「I would」の短縮形	中学1年
2	I’ll	短縮形	「I will」の短縮形	中学2年
1	I’m	短縮形	「I am」の短縮形	中学1年
1	isn’t	短縮形	「is not」の短縮形	中学1年
未確認	it’s	短縮形	「it is」の短縮形	未確認
3	I’ve	短縮形	「I have」の短縮形	中学3年
2	mustn’t	短縮形	「must not」の短縮形	中学2年
未確認	she’s	短縮形	「she is」の短縮形	未確認
未確認	that’s	短縮形	「that is」の短縮形	未確認
1	there’s	短縮形	「there is」の短縮形	中学1年
1	they’re	短縮形	「they are」の短縮形	中学1年
1	wasn’t	短縮形	「was not」の短縮形	中学1年
3	we’ll	短縮形	「we will」の短縮形	中学3年
未確認	we’re	短縮形	「we are」の短縮形	未確認
1	weren’t	短縮形	「were not」の短縮形	中学1年
3	we’ve	短縮形	「we have」の短縮形	中学3年
1	what’s	短縮形	「what is」の短縮形	中学1年
1	when’s	短縮形	「when is」の短縮形	中学1年
1	where’s	短縮形	「where is」の短縮形	中学1年
1	who’s	短縮形	「who is」の短縮形	中学1年
3	won’t	短縮形	「will not」の短縮形	中学3年
2	you’ll	短縮形	「you will」の短縮形	中学2年
未確認	you’re	短縮形	「you are」の短縮形	未確認
3	you’ve	短縮形	「you have」の短縮形	中学3年
